PCA_1,PCA_2,prediction,iteration_guid,sut_name,ctdp_in_watts,cpufreq_scaling_governor,power_determinism_mode_enabled,numa_zones,packages,total_memory_size_in_gib,memory_speed_in_mts,M,N,K,gflops
0.254114784844261,0.02908746397155388,3,57e97ba0-82bc-4ce5-af56-f27e156f8ee1,sppo-daytona-076-ubuntu2004,-1,performance,false,2,2,512,3200,16000,16000,16000,4352.27
0.2540875202906202,0.029110377821513968,3,23824cee-64b9-492e-b0db-2cf6f9976de8,sppo-daytona-076-ubuntu2004,-1,performance,false,2,2,512,3200,16000,16000,16000,4354.18
0.28554655921425753,0.0026668690887966763,3,b9d7032a-9ec2-4ac9-bbdb-2d98207587b0,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2233.27
0.28622242178512813,0.0020988527004412944,3,5d31fe4a-9b00-405d-9300-5e6d53a3ab13,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2189.4700000000003
0.28514896172344406,0.0030010226585973523,3,4b9d1dbb-b5ac-4521-b1aa-e721f3e755d6,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2259.0699999999997
0.2849940325009452,0.0031312301019554463,3,e45b0705-7bda-4b50-9077-c0ea603007fd,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2269.13
0.285051007708481,0.003083346326458632,3,15b4368b-74a6-4088-be3d-176e8b053bc7,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2265.4300000000003
0.2851588200095573,0.002992737441580223,3,22199213-adf5-44cb-8251-4dbe1355b4bb,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2258.4300000000003
0.284953538655716,0.0031652624166729577,3,c1603e8a-5282-45f7-9806-3bfb0dd34aa5,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2271.76
0.2848151503169888,0.0032815683755206305,3,ec38808c-364d-493b-acf3-ee040f2824bc,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2280.75
0.28513925770137516,0.003009178227207954,3,0770ca8b-56b5-42b1-a45c-c3834cfcff86,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2259.7
0.2849132027019662,0.0031991620343724296,3,7caa0e47-6479-4c21-92b3-87ac947cc55c,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2274.38
0.28479314173656173,0.0033000650861032222,3,d48f3136-3915-481c-80bd-b113fb67edfe,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2282.1800000000003
0.28491043167328134,0.003201490894962446,3,268c0c61-ccc0-47d6-9d70-7df6c9f3f7e8,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2274.56
0.28529454924204106,0.0028786662801451464,3,97e5851e-31e4-424e-8bb7-e332e042ecfb,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2249.62
0.2850094304355516,0.003118289188254656,3,3bc662ba-12ac-49eb-8eee-eaa741ff9b99,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2268.13
0.2851717593648657,0.002981862796072764,3,627dff46-ee3d-46cf-8467-38c75b26723a,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2257.59
0.2848739481853392,0.003232152777937891,3,608498ac-2d54-451d-b734-0d9df7a93836,sppo-daytona-027-ubuntu2004,-1,ondemand,false,2,2,512,3200,16000,16000,16000,2276.93
